State,Year,Violent_Crime,Crime_Rate_Per_Lakh,Literacy_Rate,Population
Andhra Pradesh,2021,7215,8.53,66.29,84580777.0
Andhra Pradesh,2022,7104,8.4,66.29,84580777.0
Andhra Pradesh,2023,6432,7.6,66.29,84580777.0
Arunachal Pradesh,2021,492,35.56,63.86,1383727.0
Arunachal Pradesh,2022,440,31.8,63.86,1383727.0
Arunachal Pradesh,2023,454,32.81,63.86,1383727.0
Assam,2021,26933,86.31,72.25,31205576.0
Assam,2022,14314,45.87,72.25,31205576.0
Assam,2023,11552,37.02,72.25,31205576.0
Bihar,2021,43780,42.06,61.76,104099452.0
Bihar,2022,49610,47.66,61.76,104099452.0
Bihar,2023,52165,50.11,61.76,104099452.0
Chhattisgarh,2021,8458,33.11,65.84,25545198.0
Chhattisgarh,2022,8848,34.64,65.84,25545198.0
Chhattisgarh,2023,8602,33.67,65.84,25545198.0
Goa,2021,345,23.65,88.58,1458545.0
Goa,2022,396,27.15,88.58,1458545.0
Goa,2023,363,24.89,88.58,1458545.0
Gujarat,2021,8327,13.78,76.39,60439692.0
Gujarat,2022,9015,14.92,76.39,60439692.0
Gujarat,2023,8976,14.85,76.39,60439692.0
Haryana,2021,12828,50.6,75.36,25351462.0
Haryana,2022,13447,53.04,75.36,25351462.0
Haryana,2023,14726,58.09,75.36,25351462.0
Himachal Pradesh,2021,1762,25.67,81.75,6864602.0
Himachal Pradesh,2022,1858,27.07,81.75,6864602.0
Himachal Pradesh,2023,1869,27.23,81.75,6864602.0
Jharkhand,2021,13496,40.91,64.74,32988134.0
Jharkhand,2022,13323,40.39,64.74,32988134.0
Jharkhand,2023,12374,37.51,64.74,32988134.0
Karnataka,2021,15277,25.01,73.66,61095297.0
Karnataka,2022,17091,27.97,73.66,61095297.0
Karnataka,2023,17902,29.3,73.66,61095297.0
Kerala,2021,8465,25.34,93.7,33406061.0
Kerala,2022,9462,28.32,93.7,33406061.0
Kerala,2023,10255,30.7,93.7,33406061.0
Madhya Pradesh,2021,26038,35.85,67.68,72626809.0
Madhya Pradesh,2022,27118,37.34,67.68,72626809.0
Madhya Pradesh,2023,27927,38.45,67.68,72626809.0
Maharashtra,2021,43755,38.94,80.97,112374333.0
Maharashtra,2022,45358,40.36,80.97,112374333.0
Maharashtra,2023,46249,41.16,80.97,112374333.0
Manipur,2021,545,21.2,76.36,2570390.0
Manipur,2022,631,24.55,76.36,2570390.0
Manipur,2023,14427,561.28,76.36,2570390.0
Meghalaya,2021,580,19.55,73.23,2966889.0
Meghalaya,2022,571,19.25,73.23,2966889.0
Meghalaya,2023,483,16.28,73.23,2966889.0
Mizoram,2021,186,16.95,89.36,1097206.0
Mizoram,2022,187,17.04,89.36,1097206.0
Mizoram,2023,173,15.77,89.36,1097206.0
Nagaland,2021,158,7.99,78.4,1978502.0
Nagaland,2022,121,6.12,78.4,1978502.0
Nagaland,2023,146,7.38,78.4,1978502.0
Odisha,2021,22244,52.99,70.84,41974218.0
Odisha,2022,43566,103.79,70.84,41974218.0
Odisha,2023,31749,75.64,70.84,41974218.0
Punjab,2021,6322,22.79,74.68,27743338.0
Punjab,2022,6230,22.46,74.68,27743338.0
Punjab,2023,6193,22.32,74.68,27743338.0
Rajasthan,2021,23104,33.7,64.6,68548437.0
Rajasthan,2022,24183,35.28,64.6,68548437.0
Rajasthan,2023,24659,35.97,64.6,68548437.0
Sikkim,2021,109,17.85,80.17,610577.0
Sikkim,2022,149,24.4,80.17,610577.0
Sikkim,2023,107,17.52,80.17,610577.0
Tamil Nadu,2021,12386,17.17,79.34,72147030.0
Tamil Nadu,2022,12325,17.08,79.34,72147030.0
Tamil Nadu,2023,11302,15.67,79.34,72147030.0
Telangana,2021,9844,28.12,66.46,35003674.0
Telangana,2022,9673,27.63,66.46,35003674.0
Telangana,2023,10069,28.77,66.46,35003674.0
Tripura,2021,1637,44.56,86.64,3673917.0
Tripura,2022,1327,36.12,86.64,3673917.0
Tripura,2023,1541,41.94,86.64,3673917.0
Uttar Pradesh,2021,52502,26.28,67.5,199812341.0
Uttar Pradesh,2022,52579,26.31,67.5,199812341.0
Uttar Pradesh,2023,49453,24.75,67.5,199812341.0
Uttarakhand,2021,3162,31.35,79.64,10086292.0
Uttarakhand,2022,3923,38.89,79.64,10086292.0
Uttarakhand,2023,3570,35.39,79.64,10086292.0
West Bengal,2021,47904,52.48,74.86,91276115.0
West Bengal,2022,46241,50.66,74.86,91276115.0
West Bengal,2023,46838,51.31,74.86,91276115.0
Andaman and Nicobar Islands,2021,88,23.12,83.7,380581.0
Andaman and Nicobar Islands,2022,99,26.01,83.7,380581.0
Andaman and Nicobar Islands,2023,122,32.06,83.7,380581.0
Chandigarh,2021,362,34.3,86.05,1055450.0
Chandigarh,2022,344,32.59,86.05,1055450.0
Chandigarh,2023,385,36.48,86.05,1055450.0
Dadra and Nagar Haveli and Daman and Diu,2021,109,18.57,77.65,586956.0
Dadra and Nagar Haveli and Daman and Diu,2022,146,24.87,77.65,586956.0
Dadra and Nagar Haveli and Daman and Diu,2023,138,23.51,77.65,586956.0
Delhi,2021,11793,70.25,86.56,16787941.0
Delhi,2022,11477,68.36,86.56,16787941.0
Delhi,2023,11072,65.95,86.56,16787941.0
Jammu and Kashmir,2021,3072,24.5,65.38,12541302.0
Jammu and Kashmir,2022,2715,21.65,65.38,12541302.0
Jammu and Kashmir,2023,2446,19.5,65.38,12541302.0
Ladakh,2021,23,8.39,77.2,274289.0
Ladakh,2022,33,12.03,77.2,274289.0
Ladakh,2023,16,5.83,77.2,274289.0
Lakshadweep,2021,5,7.76,91.85,64473.0
Lakshadweep,2022,5,7.76,91.85,64473.0
Lakshadweep,2023,5,7.76,91.85,64473.0
Puducherry,2021,191,15.31,87.46,1247953.0
Puducherry,2022,199,15.95,87.46,1247953.0
Puducherry,2023,247,19.79,87.46,1247953.0
